# Raw Wintab pkTime read against GetTickCount64, one row per packet, taken on a Wacom DTH246
# on 13 Sep 2026 through Scribble.WinForms on the hi-res digitizer context.
#
# This is the measurement that settled pkTime's origin, which Wintab documents nowhere and
# which no stroke recording could answer -- StrokeRecorder writes times relative to the first
# point by design, so it carries no machine uptime at all.
#
# The answer: pkTime is counted on the GetTickCount64 epoch. Over 6217 packets spanning
# 41703ms, pkTime advanced 41703ms against 41703ms of wall clock, and the offset between the
# two stayed between -6ms and +34ms. The run contained a deliberate five-second pause with the
# pen away from the tablet: a counter that only advanced while packets arrived would have
# fallen five seconds behind across it, and this one did not.
#
# The negative end of that offset range is not noise. GetTickCount64 advances in steps of
# about 15.6ms while pkTime is finer, so a packet stamped just after a tick genuinely reads
# ahead of it. The median offset of 15ms is mostly that quantisation rather than delivery
# latency. The first version of the analysis subtracted in unsigned 32-bit arithmetic and
# reported that -1ms as 4294967295, declaring the clock unanchorable; the regression case for
# it is probe/tick-lags-pktime in --selftest-clock.
#
# What it changed: both Wintab sessions now anchor against the system clock instead of
# watching for a backward jump, so a wrap that happens while a session is stopped, or across a
# gap where the capture region discarded every packet, is recovered rather than missed.
#
pkTime,tickCount64
132283200,132283203
132283206,132283218
132283211,132283218
132283217,132283218
132283222,132283234
132283228,132283234
132283234,132283250
132283239,132283250
132283245,132283250
132283250,132283265
132283256,132283265
132283261,132283265
132283267,132283281
132283272,132283281
132283278,132283296
132283284,132283296
132283289,132283296
132283295,132283312
132283300,132283312
132283306,132283312
132283311,132283328
132283317,132283328
132283322,132283328
132283328,132283343
132283334,132283343
132283339,132283343
132283345,132283359
132283350,132283359
132283356,132283359
132283361,132283375
132283367,132283375
132283372,132283375
132283378,132283390
132283384,132283390
132283389,132283406
132283395,132283406
132283400,132283406
132283406,132283421
132283411,132283421
132283417,132283421
132283422,132283437
132283428,132283437
132283434,132283437
132283439,132283453
132283445,132283453
132283450,132283468
132283456,132283468
132283461,132283468
132283467,132283484
132283472,132283484
132283478,132283484
132283484,132283500
132283489,132283500
132283495,132283500
132283500,132283515
132283506,132283515
132283511,132283515
132283517,132283531
132283522,132283531
132283528,132283546
132283534,132283546
132283539,132283546
132283545,132283562
132283550,132283562
132283556,132283562
132283561,132283578
132283567,132283578
132283572,132283578
132283578,132283593
132283584,132283593
132283589,132283593
132283595,132283609
132283600,132283609
132283606,132283609
132283611,132283625
132283617,132283625
132283622,132283625
132283628,132283640
132283634,132283640
132283639,132283656
132283645,132283656
132283650,132283656
132283656,132283671
132283661,132283671
132283667,132283671
132283672,132283687
132283678,132283687
132283684,132283687
132283689,132283703
132283695,132283703
132283700,132283718
132283706,132283718
132283711,132283718
132283717,132283734
132283722,132283734
132283728,132283734
132283734,132283750
132283739,132283750
132283745,132283750
132283750,132283765
132283756,132283765
132283761,132283781
132283767,132283781
132283772,132283781
132283778,132283796
132283784,132283796
132283789,132283796
132283795,132283812
132283800,132283812
132283806,132283812
132283811,132283828
132283817,132283828
132283822,132283828
132283828,132283843
132283834,132283843
132283839,132283843
132283845,132283859
132283850,132283859
132283856,132283859
132283861,132283875
132283867,132283875
132283872,132283875
132283878,132283890
132283884,132283890
132283889,132283906
132283895,132283906
132283900,132283906
132283906,132283921
132283911,132283921
132283917,132283921
132283922,132283937
132283928,132283937
132283934,132283937
132283939,132283953
132283945,132283953
132283950,132283968
132283956,132283968
132283961,132283968
132283967,132283984
132283972,132283984
132283978,132283984
132283984,132284000
132283989,132284000
132283995,132284000
132284000,132284015
132284006,132284015
132284011,132284015
132284017,132284031
132284022,132284031
132284028,132284046
132284034,132284046
132284039,132284046
132284045,132284062
