"utc","name","pid","service_status","handles","threads","private_bytes","working_set_bytes"
"2026-09-14T17:43:05.5223064Z","WTabletServicePro","40496","Running","202","4","2420736","12976128"
"2026-09-14T17:43:15.5619297Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:43:15.5619297Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:43:15.5619297Z","WTabletServicePro","40496","Running","204","4","2420736","12976128"
"2026-09-14T17:43:25.6106817Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:43:25.6106817Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:43:25.6106817Z","WTabletServicePro","40496","Running","204","4","2420736","12976128"
"2026-09-14T17:43:35.6553833Z","Wacom_Tablet","34844","Running","727","69","45793280","92336128"
"2026-09-14T17:43:35.6553833Z","Wacom_TabletUser","55636","Running","307","4","2977792","23478272"
"2026-09-14T17:43:35.6553833Z","WTabletServicePro","40496","Running","204","4","2420736","12976128"
"2026-09-14T17:43:45.7097720Z","Wacom_Tablet","34844","Running","727","72","45879296","92401664"
"2026-09-14T17:43:45.7097720Z","Wacom_TabletUser","55636","Running","307","7","3067904","23539712"
"2026-09-14T17:43:45.7097720Z","WTabletServicePro","40496","Running","204","5","2453504","13000704"
"2026-09-14T17:43:55.7630217Z","Wacom_Tablet","34844","Running","727","72","45879296","92401664"
"2026-09-14T17:43:55.7630217Z","Wacom_TabletUser","55636","Running","307","7","3067904","23539712"
"2026-09-14T17:43:55.7630217Z","WTabletServicePro","40496","Running","204","5","2453504","13000704"
"2026-09-14T17:44:05.8162244Z","Wacom_Tablet","34844","Running","727","72","45879296","92401664"
"2026-09-14T17:44:05.8162244Z","Wacom_TabletUser","55636","Running","307","7","3067904","23539712"
"2026-09-14T17:44:05.8162244Z","WTabletServicePro","40496","Running","204","5","2453504","13000704"
"2026-09-14T17:44:15.8570329Z","Wacom_Tablet","34844","Running","727","72","45879296","92401664"
"2026-09-14T17:44:15.8570329Z","Wacom_TabletUser","55636","Running","307","7","3067904","23543808"
"2026-09-14T17:44:15.8570329Z","WTabletServicePro","40496","Running","206","5","2453504","13000704"
"2026-09-14T17:44:25.8995632Z","Wacom_Tablet","34844","Running","727","72","45879296","92401664"
"2026-09-14T17:44:25.8995632Z","Wacom_TabletUser","55636","Running","307","7","3067904","23543808"
"2026-09-14T17:44:25.8995632Z","WTabletServicePro","40496","Running","206","5","2453504","13000704"
"2026-09-14T17:44:35.9421507Z","Wacom_Tablet","34844","Running","727","72","45879296","92401664"
"2026-09-14T17:44:35.9421507Z","Wacom_TabletUser","55636","Running","307","7","3067904","23543808"
"2026-09-14T17:44:35.9421507Z","WTabletServicePro","40496","Running","206","5","2453504","13000704"
"2026-09-14T17:44:45.9832905Z","Wacom_Tablet","34844","Running","727","72","45879296","92401664"
"2026-09-14T17:44:45.9832905Z","Wacom_TabletUser","55636","Running","307","7","3067904","23543808"
"2026-09-14T17:44:45.9832905Z","WTabletServicePro","40496","Running","206","5","2453504","13000704"
"2026-09-14T17:44:56.0301870Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:44:56.0301870Z","Wacom_TabletUser","55636","Running","307","5","3010560","23511040"
"2026-09-14T17:44:56.0301870Z","WTabletServicePro","40496","Running","202","3","2396160","12967936"
"2026-09-14T17:45:06.0830700Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:45:06.0830700Z","Wacom_TabletUser","55636","Running","307","5","3010560","23511040"
"2026-09-14T17:45:06.0830700Z","WTabletServicePro","40496","Running","202","3","2396160","12967936"
"2026-09-14T17:45:16.1194970Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:45:16.1194970Z","Wacom_TabletUser","55636","Running","307","5","3010560","23511040"
"2026-09-14T17:45:16.1194970Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:45:26.1611676Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:45:26.1611676Z","Wacom_TabletUser","55636","Running","307","5","3010560","23511040"
"2026-09-14T17:45:26.1611676Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:45:36.2104857Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:45:36.2104857Z","Wacom_TabletUser","55636","Running","307","5","3010560","23511040"
"2026-09-14T17:45:36.2104857Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:45:46.2650404Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:45:46.2650404Z","Wacom_TabletUser","55636","Running","307","5","3010560","23511040"
"2026-09-14T17:45:46.2650404Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:45:56.3190238Z","Wacom_Tablet","34844","Running","729","71","45850624","92385280"
"2026-09-14T17:45:56.3190238Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:45:56.3190238Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:46:06.3652619Z","Wacom_Tablet","34844","Running","729","71","45850624","92385280"
"2026-09-14T17:46:06.3652619Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:46:06.3652619Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:46:16.4186104Z","Wacom_Tablet","34844","Running","729","71","45850624","92385280"
"2026-09-14T17:46:16.4186104Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:46:16.4186104Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:46:26.4705153Z","Wacom_Tablet","34844","Running","729","71","45850624","92385280"
"2026-09-14T17:46:26.4705153Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:46:26.4705153Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:46:36.5200294Z","Wacom_Tablet","34844","Running","729","71","45850624","92385280"
"2026-09-14T17:46:36.5200294Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:46:36.5200294Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:46:46.5604076Z","Wacom_Tablet","34844","Running","729","71","45850624","92385280"
"2026-09-14T17:46:46.5604076Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:46:46.5604076Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:46:56.6172729Z","Wacom_Tablet","34844","Running","729","71","45850624","92385280"
"2026-09-14T17:46:56.6172729Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:46:56.6172729Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:47:06.6602872Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:47:06.6602872Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:47:06.6602872Z","WTabletServicePro","40496","Running","202","3","2392064","12967936"
"2026-09-14T17:47:16.7140727Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:47:16.7140727Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:47:16.7140727Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:47:26.7560025Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:47:26.7560025Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:47:26.7560025Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:47:36.7970480Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:47:36.7970480Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:47:36.7970480Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:47:46.8397463Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:47:46.8397463Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:47:46.8397463Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:47:56.8941756Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:47:56.8941756Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:47:56.8941756Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:48:06.9443825Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:48:06.9443825Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:48:06.9443825Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:48:16.9925280Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:48:16.9925280Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:48:16.9925280Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:48:27.0325386Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:48:27.0325386Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:48:27.0325386Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:48:37.0752554Z","Wacom_Tablet","34844","Running","727","69","45793280","92352512"
"2026-09-14T17:48:37.0752554Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:48:37.0752554Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:48:47.1302732Z","Wacom_Tablet","34844","Running","731","69","45797376","92385280"
"2026-09-14T17:48:47.1302732Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:48:47.1302732Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:48:57.1842019Z","Wacom_Tablet","34844","Running","731","69","45797376","92385280"
"2026-09-14T17:48:57.1842019Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:48:57.1842019Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:49:07.2245776Z","Wacom_Tablet","34844","Running","731","69","45797376","92385280"
"2026-09-14T17:49:07.2245776Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:49:07.2245776Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:49:17.2761161Z","Wacom_Tablet","34844","Running","733","70","45826048","92393472"
"2026-09-14T17:49:17.2761161Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:49:17.2761161Z","WTabletServicePro","40496","Running","202","3","2396160","12967936"
"2026-09-14T17:49:27.3159719Z","Wacom_Tablet","34844","Running","733","70","45826048","92393472"
"2026-09-14T17:49:27.3159719Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:49:27.3159719Z","WTabletServicePro","40496","Running","202","3","2396160","12967936"
"2026-09-14T17:49:37.3647527Z","Wacom_Tablet","34844","Running","733","70","45826048","92393472"
"2026-09-14T17:49:37.3647527Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:49:37.3647527Z","WTabletServicePro","40496","Running","202","3","2396160","12967936"
"2026-09-14T17:49:47.4180984Z","Wacom_Tablet","34844","Running","733","70","45826048","92393472"
"2026-09-14T17:49:47.4180984Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:49:47.4180984Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:49:57.4681594Z","Wacom_Tablet","34844","Running","733","70","45826048","92393472"
"2026-09-14T17:49:57.4681594Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:49:57.4681594Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:50:07.5181478Z","Wacom_Tablet","34844","Running","733","70","45826048","92393472"
"2026-09-14T17:50:07.5181478Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:50:07.5181478Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:50:17.5619417Z","Wacom_Tablet","34844","Running","733","70","45826048","92393472"
"2026-09-14T17:50:17.5619417Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:50:17.5619417Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:50:27.6095523Z","Wacom_Tablet","34844","Running","731","69","45797376","92377088"
"2026-09-14T17:50:27.6095523Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:50:27.6095523Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:50:37.6530845Z","Wacom_Tablet","34844","Running","731","69","45797376","92377088"
"2026-09-14T17:50:37.6530845Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:50:37.6530845Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:50:47.7050614Z","Wacom_Tablet","34844","Running","731","69","45797376","92377088"
"2026-09-14T17:50:47.7050614Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:50:47.7050614Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:50:57.7472099Z","Wacom_Tablet","34844","Running","731","69","45797376","92377088"
"2026-09-14T17:50:57.7472099Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:50:57.7472099Z","WTabletServicePro","40496","Running","204","4","3452928","14008320"
"2026-09-14T17:51:07.7903444Z","Wacom_Tablet","34844","Running","731","69","45797376","92377088"
"2026-09-14T17:51:07.7903444Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:51:07.7903444Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:51:17.8448978Z","Wacom_Tablet","34844","Running","731","69","45797376","92377088"
"2026-09-14T17:51:17.8448978Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:51:17.8448978Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:51:27.8876804Z","Wacom_Tablet","34844","Running","731","69","45797376","92377088"
"2026-09-14T17:51:27.8876804Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:51:27.8876804Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:51:37.9328643Z","Wacom_Tablet","34844","Running","731","70","45826048","92393472"
"2026-09-14T17:51:37.9328643Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:51:37.9328643Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:51:47.9750675Z","Wacom_Tablet","34844","Running","731","70","45826048","92393472"
"2026-09-14T17:51:47.9750675Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:51:47.9750675Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:51:58.0219667Z","Wacom_Tablet","34844","Running","731","70","45826048","92393472"
"2026-09-14T17:51:58.0219667Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:51:58.0219667Z","WTabletServicePro","40496","Running","202","4","2424832","12984320"
"2026-09-14T17:52:08.0668197Z","Wacom_Tablet","34844","Running","731","70","45826048","92393472"
"2026-09-14T17:52:08.0668197Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:52:08.0668197Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:52:18.1155666Z","Wacom_Tablet","34844","Running","731","70","45826048","92393472"
"2026-09-14T17:52:18.1155666Z","Wacom_TabletUser","55636","Running","307","4","2977792","23494656"
"2026-09-14T17:52:18.1155666Z","WTabletServicePro","40496","Running","204","4","2424832","12984320"
"2026-09-14T17:52:28.1683055Z","Wacom_Tablet","34844","Running","731","70","45826048","92393472"
