utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T18:48:25.282Z,58492,manager_exports,0000000000000000,1,0.000,512,4,512,4,"open;close;enum;owner;default"
2026-09-14T18:48:25.296Z,58492,manager_open,0000000000000004,1,0.082,512,4,512,4,"hidden;lastError=0"
2026-09-14T18:48:25.992Z,58492,enumerated_context,0000000000000ACE,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-3"
2026-09-14T18:48:26.007Z,58492,enumerated_context,0000000000000ACD,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-2"
2026-09-14T18:48:26.023Z,58492,enumerated_context,0000000000000ACC,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-1"
2026-09-14T18:48:26.036Z,58492,enumerated_context,0000000000000ACB,18900,0.000,512,4,512,4,"owner=0000000000A10F6E;isWindow=1;ownerPid=18900;get=1;device=0;options=0x8015;name=issue121-18900-0"
2026-09-14T18:48:26.057Z,58492,enumerated_context,0000000000000801,0,0.000,512,4,512,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name="
2026-09-14T18:48:26.075Z,58492,enumerated_context,0000000000000B00,0,0.000,512,4,512,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=0;device=0;options=0x0;name="
2026-09-14T18:48:26.089Z,58492,enumerated_context,0000000000000ACA,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-66"
2026-09-14T18:48:26.103Z,58492,enumerated_context,0000000000000AC9,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-65"
2026-09-14T18:48:26.115Z,58492,enumerated_context,0000000000000AC8,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-64"
2026-09-14T18:48:26.129Z,58492,enumerated_context,0000000000000AC7,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-63"
2026-09-14T18:48:26.143Z,58492,enumerated_context,0000000000000AC6,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-62"
2026-09-14T18:48:26.157Z,58492,enumerated_context,0000000000000AC5,0,0.000,512,4,512,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-61"
